"estimate","se","model_name","outcome","comparison","pvalue"
0.068750240104208,0.0374451635468265,"wave_1","keep_church_controls","info_vs_no",0.0663540236776441
0.00981794418731169,0.0223858496684453,"wave_2","keep_church_controls","info_vs_no",0.660967243352039
0.0253346996005655,0.0192140761935777,"meta_estimate","keep_church_controls","info_vs_no",0.187319956858046
0.0333249674822714,0.0220783392152915,"pooled","keep_church_controls","info_vs_no",0.131197492241268
0.0930623011050508,0.0430058684396167,"wave_1","keep_street_controls","info_vs_no",0.0304686294226157
-0.0107944984496873,0.0285100582923764,"wave_2","keep_street_controls","info_vs_no",0.70496954250381
0.0209135536138039,0.0237626589931279,"meta_estimate","keep_street_controls","info_vs_no",0.378804285819867
0.0332479593503287,0.0249789357230445,"pooled","keep_street_controls","info_vs_no",0.183175892495842
0.0602089888580954,0.0374431005181342,"wave_1","keep_thanks_controls","info_vs_no",0.10783235231698
-0.0307737446578205,0.0204067192767862,"wave_2","keep_thanks_controls","info_vs_no",0.131549360015382
-0.00993789719095933,0.0179183451600101,"meta_estimate","keep_thanks_controls","info_vs_no",0.579153666974511
0.00989338955366029,0.0212981731091208,"pooled","keep_thanks_controls","info_vs_no",0.64227650570584
-0.0634726712886468,0.0359753125075617,"wave_1","keep_church_controls","insurance_vs_info",0.0776748074711875
-0.0432225664136874,0.0256403606736303,"wave_2","keep_church_controls","insurance_vs_info",0.0918490091552278
-0.050043963517656,0.0208798609951958,"meta_estimate","keep_church_controls","insurance_vs_info",0.0165408665054476
-0.0556857253881007,0.0221743092778984,"pooled","keep_church_controls","insurance_vs_info",0.0120296914873546
-0.0935769384321664,0.0409604372916529,"wave_1","keep_street_controls","insurance_vs_info",0.022338122177328
-0.045436814435161,0.0319561681576354,"wave_2","keep_street_controls","insurance_vs_info",0.155070375693248
-0.0636514757526553,0.0251954159450196,"meta_estimate","keep_street_controls","insurance_vs_info",0.0115267139773412
-0.0691686948918954,0.0263444216683103,"pooled","keep_street_controls","insurance_vs_info",0.00865081513615751
-0.0884246153185202,0.0451775624435972,"wave_1","keep_thanks_controls","insurance_vs_info",0.0503159207876098
-0.00977539471130768,0.0215350081269021,"wave_2","keep_thanks_controls","insurance_vs_info",0.64987892702325
-0.0243372553880725,0.0194394520465929,"meta_estimate","keep_thanks_controls","insurance_vs_info",0.210587457722244
-0.0524656090263298,0.0246121912890567,"pooled","keep_thanks_controls","insurance_vs_info",0.0330321824293376
